sweep_q,pulse_shape,A0,delta0,A1,delta1,best_theta,fit_loss,unitarity_err
q0,cos,0.2,-0.1,0.5,0.0,3.940302650265164,4.4160523090775685,2.7826701813595636e-05
q0,cos,0.2,-0.05,0.5,0.0,3.940302650265164,4.416048927823151,2.7777864196685826e-05
q0,cos,0.2,0.0,0.5,0.0,3.940302650265164,4.416048552028432,2.755967435870433e-05
q0,cos,0.2,0.05000000000000002,0.5,0.0,3.940302650265164,4.416048927823151,2.7777864196685826e-05
q0,cos,0.2,0.1,0.5,0.0,3.940302650265164,4.4160523090775685,2.7826701813595636e-05
q0,cos,0.4,-0.1,0.5,0.0,3.940302650265164,4.408500966264514,2.9555863061924442e-05
q0,cos,0.4,-0.05,0.5,0.0,3.940302650265164,4.408487604733243,3.175005101279278e-05
q0,cos,0.4,0.0,0.5,0.0,3.940302650265164,4.408491107187633,3.0184117473357818e-05
q0,cos,0.4,0.05000000000000002,0.5,0.0,3.940302650265164,4.408487604733243,3.175005101279278e-05
q0,cos,0.4,0.1,0.5,0.0,3.940302650265164,4.408500966264514,2.9555863061924442e-05
q0,cos,0.6000000000000001,-0.1,0.5,0.0,4.046797316488547,4.401573577998402,7.271219228588087e-06
q0,cos,0.6000000000000001,-0.05,0.5,0.0,4.046797316488547,4.401539666391982,4.370146022154417e-06
q0,cos,0.6000000000000001,0.0,0.5,0.0,4.046797316488547,4.401468287020609,5.917368658556369e-06
q0,cos,0.6000000000000001,0.05000000000000002,0.5,0.0,4.046797316488547,4.401539666391982,4.370146022154417e-06
q0,cos,0.6000000000000001,0.1,0.5,0.0,4.046797316488547,4.401573577998402,7.271219228588087e-06
q0,cos,0.8,-0.1,0.5,0.0,4.046797316488547,4.394968982486054,2.419892286034315e-06
q0,cos,0.8,-0.05,0.5,0.0,4.046797316488547,4.394947815528251,3.753585235930178e-06
q0,cos,0.8,0.0,0.5,0.0,4.046797316488547,4.394901944210103,6.027781424645333e-06
q0,cos,0.8,0.05000000000000002,0.5,0.0,4.046797316488547,4.394947815528251,3.753585235930178e-06
q0,cos,0.8,0.1,0.5,0.0,4.046797316488547,4.394968982486054,2.419892286034315e-06
q0,cos,1.0,-0.1,0.5,0.0,4.046797316488547,4.389835831274464,5.887007651712663e-06
q0,cos,1.0,-0.05,0.5,0.0,4.046797316488547,4.389824810228733,6.9950710726436335e-06
q0,cos,1.0,0.0,0.5,0.0,4.046797316488547,4.389847671717414,5.079738799959491e-06
q0,cos,1.0,0.05000000000000002,0.5,0.0,4.046797316488547,4.389824810228733,6.9950710726436335e-06
