sweep_q,pulse_shape,A0,delta0,A1,delta1,best_theta,fit_loss,unitarity_err
q0,cos,0.2,-0.1,0.5,0.0,3.940302650265164,4.444732956732071,3.782750275153774e-05
q0,cos,0.2,-0.05,0.5,0.0,3.940302650265164,4.444732584689384,3.778548256751399e-05
q0,cos,0.2,0.0,0.5,0.0,3.940302650265164,4.444732376155997,3.7796885193512134e-05
q0,cos,0.2,0.05000000000000002,0.5,0.0,3.940302650265164,4.444732584689384,3.778548256751399e-05
q0,cos,0.2,0.1,0.5,0.0,3.940302650265164,4.444732956732071,3.782750275153774e-05
q0,cos,0.4,-0.1,0.5,0.0,3.940302650265164,4.44330240121339,4.898476021238244e-05
q0,cos,0.4,-0.05,0.5,0.0,3.940302650265164,4.443302563014699,4.836702776025182e-05
q0,cos,0.4,0.0,0.5,0.0,3.940302650265164,4.443304438546043,4.757545951885144e-05
q0,cos,0.4,0.05000000000000002,0.5,0.0,3.940302650265164,4.443302563014699,4.836702776025182e-05
q0,cos,0.4,0.1,0.5,0.0,3.940302650265164,4.44330240121339,4.898476021238244e-05
q0,cos,0.6000000000000001,-0.1,0.5,0.0,3.940302650265164,4.441137143235454,3.518316321291127e-05
q0,cos,0.6000000000000001,-0.05,0.5,0.0,3.940302650265164,4.441133607993238,3.5043167092776366e-05
q0,cos,0.6000000000000001,0.0,0.5,0.0,3.940302650265164,4.441131188233039,3.536002024090913e-05
q0,cos,0.6000000000000001,0.05000000000000002,0.5,0.0,3.940302650265164,4.441133607993238,3.5043167092776366e-05
q0,cos,0.6000000000000001,0.1,0.5,0.0,3.940302650265164,4.441137143235454,3.518316321291127e-05
q0,cos,0.8,-0.1,0.5,0.0,3.940302650265164,4.4382674416941414,3.649613473973228e-05
q0,cos,0.8,-0.05,0.5,0.0,3.940302650265164,4.438258021636845,3.7249390564111436e-05
q0,cos,0.8,0.0,0.5,0.0,3.940302650265164,4.438250939916065,3.862228278318751e-05
q0,cos,0.8,0.05000000000000002,0.5,0.0,3.940302650265164,4.438258021636845,3.7249390564111436e-05
q0,cos,0.8,0.1,0.5,0.0,3.940302650265164,4.4382674416941414,3.649613473973228e-05
q0,cos,1.0,-0.1,0.5,0.0,3.940302650265164,4.434905643894667,4.539367655326991e-05
q0,cos,1.0,-0.05,0.5,0.0,3.940302650265164,4.434889723388947,4.763064577350791e-05
q0,cos,1.0,0.0,0.5,0.0,3.940302650265164,4.434883666345693,4.857497136617074e-05
q0,cos,1.0,0.05000000000000002,0.5,0.0,3.940302650265164,4.434889723388947,4.763064577350791e-05
q0,cos,1.0,0.1,0.5,0.0,3.940302650265164,4.434905643894667,4.539367655326991e-05
q0,cos,1.2,-0.1,0.5,0.0,3.940302650265164,4.431358105149782,3.645681714549077e-05
q0,cos,1.2,-0.05,0.5,0.0,3.940302650265164,4.431350854104536,3.561102383489214e-05
q0,cos,1.2,0.0,0.5,0.0,3.940302650265164,4.431343565012295,3.673073988846922e-05
q0,cos,1.2,0.05000000000000002,0.5,0.0,3.940302650265164,4.431350854104536,3.561102383489214e-05
q0,cos,1.2,0.1,0.5,0.0,3.940302650265164,4.431358105149782,3.645681714549077e-05
q1,cos,0.5,0.0,0.2,-0.1,4.046797316488547,4.368285923938622,6.186082107392462e-06
q1,cos,0.5,0.0,0.2,-0.05,4.046797316488547,4.368318802024947,6.732415030378036e-06
q1,cos,0.5,0.0,0.2,0.0,4.046797316488547,4.368377062725411,7.914834481221703e-06
q1,cos,0.5,0.0,0.2,0.05000000000000002,4.046797316488547,4.36837728138326,5.913311115477939e-06
q1,cos,0.5,0.0,0.2,0.1,4.046797316488547,4.368285923938622,6.186082107392462e-06
q1,cos,0.5,0.0,0.4,-0.1,3.940302650265164,4.413280070325246,1.9492722880707597e-05
q1,cos,0.5,0.0,0.4,-0.05,3.940302650265164,4.413349600707109,2.169839854640928e-05
q1,cos,0.5,0.0,0.4,0.0,3.940302650265164,4.4133722775165145,2.2471759344443944e-05
q1,cos,0.5,0.0,0.4,0.05000000000000002,3.940302650265164,4.413349600707109,2.169839854640928e-05
q1,cos,0.5,0.0,0.4,0.1,3.940302650265164,4.413280070325246,1.9492722880707597e-05
q1,cos,0.5,0.0,0.6000000000000001,-0.1,3.833807984041781,4.476397022270631,2.9879122041756424e-05
q1,cos,0.5,0.0,0.6000000000000001,-0.05,3.833807984041781,4.476543114871201,2.911321675391662e-05
q1,cos,0.5,0.0,0.6000000000000001,0.0,3.833807984041781,4.476537168661158,4.5178318413047414e-05
q1,cos,0.5,0.0,0.6000000000000001,0.05000000000000002,3.833807984041781,4.476543114871201,2.911321675391662e-05
q1,cos,0.5,0.0,0.6000000000000001,0.1,3.833807984041781,4.476397022270631,2.9879122041756424e-05
q1,cos,0.5,0.0,0.8,-0.1,3.7273133178183984,4.546361283900901,3.7465373434235064e-06
q1,cos,0.5,0.0,0.8,-0.05,3.7273133178183984,4.546504630437969,1.7633764599197306e-05
q1,cos,0.5,0.0,0.8,0.0,3.7273133178183984,4.5464860820036135,4.227409836025032e-05
q1,cos,0.5,0.0,0.8,0.05000000000000002,3.7273133178183984,4.546504630437969,1.7633764599197306e-05
q1,cos,0.5,0.0,0.8,0.1,3.7273133178183984,4.546361283900901,3.7465373434235064e-06
q1,cos,0.5,0.0,1.0,-0.1,3.6208186515950156,4.601030546716551,7.013505411254519e-05
q1,cos,0.5,0.0,1.0,-0.05,3.6208186515950156,4.601177916051005,7.152166659417745e-05
q1,cos,0.5,0.0,1.0,0.0,3.6208186515950156,4.601224756866169,7.261003801093286e-05
q1,cos,0.5,0.0,1.0,0.05000000000000002,3.6208186515950156,4.601177916051005,7.152166659417745e-05
q1,cos,0.5,0.0,1.0,0.1,3.6208186515950156,4.601030546716551,7.013505411254519e-05
q1,cos,0.5,0.0,1.2,-0.1,3.514323985371633,4.590073775286876,3.6777209286155414e-06
q1,cos,0.5,0.0,1.2,-0.05,3.514323985371633,4.590299182504598,2.0361702994997897e-06
q1,cos,0.5,0.0,1.2,0.0,3.514323985371633,4.590046739447734,1.8513140096862467e-06
q1,cos,0.5,0.0,1.2,0.05000000000000002,3.514323985371633,4.590636070690797,3.474065356627721e-06
q1,cos,0.5,0.0,1.2,0.1,3.514323985371633,4.590073775286876,3.6777209286155414e-06
q0,chirp,0.2,-0.1,0.5,0.0,3.940302650265164,4.444982253194885,3.7428017486150834e-05
q0,chirp,0.2,-0.05,0.5,0.0,3.940302650265164,4.444985815298141,3.769086133970247e-05
q0,chirp,0.2,0.0,0.5,0.0,3.940302650265164,4.444989814434919,3.796217721666412e-05
q0,chirp,0.2,0.05000000000000002,0.5,0.0,3.940302650265164,4.44499442448854,3.801367940774475e-05
q0,chirp,0.2,0.1,0.5,0.0,3.940302650265164,4.44499833837907,3.815722043402017e-05
q0,chirp,0.4,-0.1,0.5,0.0,3.940302650265164,4.444305633192835,3.677745104253203e-05
q0,chirp,0.4,-0.05,0.5,0.0,3.940302650265164,4.444336676247631,3.3106387532468814e-05
q0,chirp,0.4,0.0,0.5,0.0,3.940302650265164,4.444349423289003,3.504286393012962e-05
q0,chirp,0.4,0.05000000000000002,0.5,0.0,3.940302650265164,4.4443665124353275,3.521723362370124e-05
q0,chirp,0.4,0.1,0.5,0.0,3.940302650265164,4.4443798072860465,3.659604710093477e-05
q0,chirp,0.6000000000000001,-0.1,0.5,0.0,3.940302650265164,4.443159422976677,4.755570466391071e-05
q0,chirp,0.6000000000000001,-0.05,0.5,0.0,3.940302650265164,4.443218148153723,4.223903036492445e-05
q0,chirp,0.6000000000000001,0.0,0.5,0.0,3.940302650265164,4.443254905339745,4.349028925795888e-05
q0,chirp,0.6000000000000001,0.05000000000000002,0.5,0.0,3.940302650265164,4.443313733319366,3.762201128191526e-05
q0,chirp,0.6000000000000001,0.1,0.5,0.0,3.940302650265164,4.443324942490326,4.5684391808978326e-05
q0,chirp,0.8,-0.1,0.5,0.0,3.940302650265164,4.441689518989345,3.2720191641422734e-05
q0,chirp,0.8,-0.05,0.5,0.0,3.940302650265164,4.4417640553653355,3.2185324919368874e-05
q0,chirp,0.8,0.0,0.5,0.0,3.940302650265164,4.441833064613167,3.167913959817768e-05
q0,chirp,0.8,0.05000000000000002,0.5,0.0,3.940302650265164,4.441911086467312,3.0624977964822714e-05
q0,chirp,0.8,0.1,0.5,0.0,3.940302650265164,4.441983161322843,3.0173615001143094e-05
q0,chirp,1.0,-0.1,0.5,0.0,3.940302650265164,4.439783344772759,4.269942565434612e-05
q0,chirp,1.0,-0.05,0.5,0.0,3.940302650265164,4.439899894273565,3.979701837315724e-05
q0,chirp,1.0,0.0,0.5,0.0,3.940302650265164,4.440030221482661,3.229513141317175e-05
q0,chirp,1.0,0.05000000000000002,0.5,0.0,3.940302650265164,4.440085921168187,4.612695905724336e-05
q0,chirp,1.0,0.1,0.5,0.0,3.940302650265164,4.440223355123094,3.672694228418201e-05
q0,chirp,1.2,-0.1,0.5,0.0,3.940302650265164,4.437513138239476,6.531861378681512e-05
q0,chirp,1.2,-0.05,0.5,0.0,3.940302650265164,4.437736499316975,4.239743755177206e-05
q0,chirp,1.2,0.0,0.5,0.0,3.940302650265164,4.437861048016711,4.836907184719214e-05
q0,chirp,1.2,0.05000000000000002,0.5,0.0,3.940302650265164,4.438039197145338,3.8069209630109737e-05
q0,chirp,1.2,0.1,0.5,0.0,3.940302650265164,4.438179878214253,3.839440211676068e-05
q1,chirp,0.5,0.0,0.2,-0.1,4.046797316488547,4.354978753319558,6.588643313400371e-06
q1,chirp,0.5,0.0,0.2,-0.05,4.046797316488547,4.354770210254939,4.123680898394882e-06
q1,chirp,0.5,0.0,0.2,0.0,4.046797316488547,4.354579353386484,5.371959695770248e-06
q1,chirp,0.5,0.0,0.2,0.05000000000000002,4.046797316488547,4.35439334626951,8.294387912881733e-06
q1,chirp,0.5,0.0,0.2,0.1,4.046797316488547,4.354249548118101,7.825287976394178e-06
q1,chirp,0.5,0.0,0.4,-0.1,4.046797316488547,4.369824142712799,4.397885938968893e-06
